date tbill10yr
192607 0.035100
192608 0.034817
192609 0.034533
192610 0.034250
192611 0.033967
192612 0.033683
192701 0.033400
192702 0.033392
192703 0.033383
192704 0.033375
192705 0.033367
192706 0.033358
192707 0.033350
192708 0.033342
192709 0.033333
192710 0.033325
192711 0.033317
192712 0.033308
192801 0.033300
192802 0.033525
192803 0.033750
192804 0.033975
192805 0.034200
192806 0.034425
192807 0.034650
192808 0.034875
192809 0.035100
192810 0.035325
192811 0.035550
192812 0.035775
192901 0.036000
192902 0.035742
192903 0.035483
192904 0.035225
192905 0.034967
192906 0.034708
192907 0.034450
192908 0.034192
192909 0.033933
192910 0.033675
192911 0.033417
192912 0.033158
193001 0.032900
193002 0.032942
193003 0.032983
193004 0.033025
193005 0.033067
193006 0.033108
193007 0.033150
193008 0.033192
193009 0.033233
193010 0.033275
193011 0.033317
193012 0.033358
193101 0.033400
193102 0.033683
193103 0.033967
193104 0.034250
193105 0.034533
193106 0.034817
193107 0.035100
193108 0.035383
193109 0.035667
193110 0.035950
193111 0.036233
193112 0.036517
193201 0.036800
193202 0.036492
193203 0.036183
193204 0.035875
193205 0.035567
193206 0.035258
193207 0.034950
193208 0.034642
193209 0.034333
193210 0.034025
193211 0.033717
193212 0.033408
193301 0.033100
193302 0.032942
193303 0.032783
193304 0.032625
193305 0.032467
193306 0.032308
193307 0.032150
193308 0.031992
193309 0.031833
193310 0.031675
193311 0.031517
193312 0.031358
193401 0.031200
193402 0.030925
193403 0.030650
193404 0.030375
193405 0.030100
193406 0.029825
193407 0.029550
193408 0.029275
193409 0.029000
193410 0.028725
193411 0.028450
193412 0.028175
193501 0.027900
193502 0.027783
193503 0.027667
193504 0.027550
193505 0.027433
193506 0.027317
193507 0.027200
193508 0.027083
193509 0.026967
193510 0.026850
193511 0.026733
193512 0.026617
193601 0.026500
193602 0.026525
193603 0.026550
193604 0.026575
193605 0.026600
193606 0.026625
193607 0.026650
193608 0.026675
193609 0.026700
193610 0.026725
193611 0.026750
193612 0.026775
193701 0.026800
193702 0.026700
193703 0.026600
193704 0.026500
193705 0.026400
193706 0.026300
193707 0.026200
193708 0.026100
193709 0.026000
193710 0.025900
193711 0.025800
193712 0.025700
193801 0.025600
193802 0.025433
193803 0.025267
193804 0.025100
193805 0.024933
193806 0.024767
193807 0.024600
193808 0.024433
193809 0.024267
193810 0.024100
193811 0.023933
193812 0.023767
193901 0.023600
193902 0.023475
193903 0.023350
193904 0.023225
193905 0.023100
193906 0.022975
193907 0.022850
193908 0.022725
193909 0.022600
193910 0.022475
193911 0.022350
193912 0.022225
194001 0.022100
194002 0.021883
194003 0.021667
194004 0.021450
194005 0.021233
194006 0.021017
194007 0.020800
194008 0.020583
194009 0.020367
194010 0.020150
194011 0.019933
194012 0.019717
194101 0.019500
194102 0.019925
194103 0.020350
194104 0.020775
194105 0.021200
194106 0.021625
194107 0.022050
194108 0.022475
194109 0.022900
194110 0.023325
194111 0.023750
194112 0.024175
194201 0.024600
194202 0.024608
194203 0.024617
194204 0.024625
194205 0.024633
194206 0.024642
194207 0.024650
194208 0.024658
194209 0.024667
194210 0.024675
194211 0.024683
194212 0.024692
194301 0.024700
194302 0.024708
194303 0.024717
194304 0.024725
194305 0.024733
194306 0.024742
194307 0.024750
194308 0.024758
194309 0.024767
194310 0.024775
194311 0.024783
194312 0.024792
194401 0.024800
194402 0.024708
194403 0.024617
194404 0.024525
194405 0.024433
194406 0.024342
194407 0.024250
194408 0.024158
194409 0.024067
194410 0.023975
194411 0.023883
194412 0.023792
194501 0.023700
194502 0.023550
194503 0.023400
194504 0.023250
194505 0.023100
194506 0.022950
194507 0.022800
194508 0.022650
194509 0.022500
194510 0.022350
194511 0.022200
194512 0.022050
194601 0.021900
194602 0.021950
194603 0.022000
194604 0.022050
194605 0.022100
194606 0.022150
194607 0.022200
194608 0.022250
194609 0.022300
194610 0.022350
194611 0.022400
194612 0.022450
194701 0.022500
194702 0.022658
194703 0.022817
194704 0.022975
194705 0.023133
194706 0.023292
194707 0.023450
194708 0.023608
194709 0.023767
194710 0.023925
194711 0.024083
194712 0.024242
194801 0.024400
194802 0.024292
194803 0.024183
194804 0.024075
194805 0.023967
194806 0.023858
194807 0.023750
194808 0.023642
194809 0.023533
194810 0.023425
194811 0.023317
194812 0.023208
194901 0.023100
194902 0.023108
194903 0.023117
194904 0.023125
194905 0.023133
194906 0.023142
194907 0.023150
194908 0.023158
194909 0.023167
194910 0.023175
194911 0.023183
194912 0.023192
195001 0.023200
195002 0.023408
195003 0.023617
195004 0.023825
195005 0.024033
195006 0.024242
195007 0.024450
195008 0.024658
195009 0.024867
195010 0.025075
195011 0.025283
195012 0.025492
195101 0.025700
195102 0.025792
195103 0.025883
195104 0.025975
195105 0.026067
195106 0.026158
195107 0.026250
195108 0.026342
195109 0.026433
195110 0.026525
195111 0.026617
195112 0.026708
195201 0.026800
195202 0.026925
195203 0.027050
195204 0.027175
195205 0.027300
195206 0.027425
195207 0.027550
195208 0.027675
195209 0.027800
195210 0.027925
195211 0.028050
195212 0.028175
195301 0.028300
195302 0.028008
195303 0.027717
195304 0.028300
195305 0.030500
195306 0.031100
195307 0.029300
195308 0.029500
195309 0.028700
195310 0.026600
195311 0.026800
195312 0.025900
195401 0.024800
195402 0.024700
195403 0.023700
195404 0.022900
195405 0.023700
195406 0.023800
195407 0.023000
195408 0.023600
195409 0.023800
195410 0.024300
195411 0.024800
195412 0.025100
195501 0.026100
195502 0.026500
195503 0.026800
195504 0.027500
195505 0.027600
195506 0.027800
195507 0.029000
195508 0.029700
195509 0.029700
195510 0.028800
195511 0.028900
195512 0.029600
195601 0.029000
195602 0.028400
195603 0.029600
195604 0.031800
195605 0.030700
195606 0.030000
195607 0.031100
195608 0.033300
195609 0.033800
195610 0.033400
195611 0.034900
195612 0.035900
195701 0.034600
195702 0.033400
195703 0.034100
195704 0.034800
195705 0.036000
195706 0.038000
195707 0.039300
195708 0.039300
195709 0.039200
195710 0.039700
195711 0.037200
195712 0.032100
195801 0.030900
195802 0.030500
195803 0.029800
195804 0.028800
195805 0.029200
195806 0.029700
195807 0.032000
195808 0.035400
195809 0.037600
195810 0.038000
195811 0.037400
195812 0.038600
195901 0.040200
195902 0.039600
195903 0.039900
195904 0.041200
195905 0.043100
195906 0.043400
195907 0.044000
195908 0.044300
195909 0.046800
195910 0.045300
195911 0.045300
195912 0.046900
196001 0.047200
196002 0.044900
196003 0.042500
196004 0.042800
196005 0.043500
196006 0.041500
196007 0.039000
196008 0.038000
196009 0.038000
196010 0.038900
196011 0.039300
196012 0.038400
196101 0.038400
196102 0.037800
196103 0.037400
196104 0.037800
196105 0.037100
196106 0.038800
196107 0.039200
196108 0.040400
196109 0.039800
196110 0.039200
196111 0.039400
196112 0.040600
196201 0.040800
196202 0.040400
196203 0.039300
196204 0.038400
196205 0.038700
196206 0.039100
196207 0.040100
196208 0.039800
196209 0.039800
196210 0.039300
196211 0.039200
196212 0.038600
196301 0.038300
196302 0.039200
196303 0.039300
196304 0.039700
196305 0.039300
196306 0.039900
196307 0.040200
196308 0.040000
196309 0.040800
196310 0.041100
196311 0.041200
196312 0.041300
196401 0.041700
196402 0.041500
196403 0.042200
196404 0.042300
196405 0.042000
196406 0.041700
196407 0.041900
196408 0.041900
196409 0.042000
196410 0.041900
196411 0.041500
196412 0.041800
196501 0.041900
196502 0.042100
196503 0.042100
196504 0.042000
196505 0.042100
196506 0.042100
196507 0.042000
196508 0.042500
196509 0.042900
196510 0.043500
196511 0.044500
196512 0.046200
196601 0.046100
196602 0.048300
196603 0.048700
196604 0.047500
196605 0.047800
196606 0.048100
196607 0.050200
196608 0.052200
196609 0.051800
196610 0.050100
196611 0.051600
196612 0.048400
196701 0.045800
196702 0.046300
196703 0.045400
196704 0.045900
196705 0.048500
196706 0.050200
196707 0.051600
196708 0.052800
196709 0.053000
196710 0.054800
196711 0.057500
196712 0.057000
196801 0.055300
196802 0.055600
196803 0.057400
196804 0.056400
196805 0.058700
196806 0.057200
196807 0.055000
196808 0.054200
196809 0.054600
196810 0.055800
196811 0.057000
196812 0.060300
196901 0.060400
196902 0.061900
196903 0.063000
196904 0.061700
196905 0.063200
196906 0.065700
196907 0.067200
196908 0.066900
196909 0.071600
196910 0.071000
196911 0.071400
196912 0.076500
197001 0.077900
197002 0.072400
197003 0.070700
197004 0.073900
197005 0.079100
197006 0.078400
197007 0.074600
197008 0.075300
197009 0.073900
197010 0.073300
197011 0.068400
197012 0.063900
197101 0.062400
197102 0.061100
197103 0.057000
197104 0.058300
197105 0.063900
197106 0.065200
197107 0.067300
197108 0.065800
197109 0.061400
197110 0.059300
197111 0.058100
197112 0.059300
197201 0.059500
197202 0.060800
197203 0.060700
197204 0.061900
197205 0.061300
197206 0.061100
197207 0.061100
197208 0.062100
197209 0.065500
197210 0.064800
197211 0.062800
197212 0.063600
197301 0.064600
197302 0.066400
197303 0.067100
197304 0.066700
197305 0.068500
197306 0.069000
197307 0.071300
197308 0.074000
197309 0.070900
197310 0.067900
197311 0.067300
197312 0.067400
197401 0.069900
197402 0.069600
197403 0.072100
197404 0.075100
197405 0.075800
197406 0.075400
197407 0.078100
197408 0.080400
197409 0.080400
197410 0.079000
197411 0.076800
197412 0.074300
197501 0.075000
197502 0.073900
197503 0.077300
197504 0.082300
197505 0.080600
197506 0.078600
197507 0.080600
197508 0.084000
197509 0.084300
197510 0.081400
197511 0.080500
197512 0.080000
197601 0.077400
197602 0.077900
197603 0.077300
197604 0.075600
197605 0.079000
197606 0.078600
197607 0.078300
197608 0.077700
197609 0.075900
197610 0.074100
197611 0.072900
197612 0.068700
197701 0.072100
197702 0.073900
197703 0.074600
197704 0.073700
197705 0.074600
197706 0.072800
197707 0.073300
197708 0.074000
197709 0.073400
197710 0.075200
197711 0.075800
197712 0.076900
197801 0.079600
197802 0.080300
197803 0.080400
197804 0.081500
197805 0.083500
197806 0.084600
197807 0.086400
197808 0.084100
197809 0.084200
197810 0.086400
197811 0.088100
197812 0.090100
197901 0.091000
197902 0.091000
197903 0.091200
197904 0.091800
197905 0.092500
197906 0.089100
197907 0.089500
197908 0.090300
197909 0.093300
197910 0.103000
197911 0.106500
197912 0.103900
198001 0.108000
198002 0.124100
198003 0.127500
198004 0.114700
198005 0.101800
198006 0.097800
198007 0.102500
198008 0.111000
198009 0.115100
198010 0.117500
198011 0.126800
198012 0.128400
198101 0.125700
198102 0.131900
198103 0.131200
198104 0.136800
198105 0.141000
198106 0.134700
198107 0.142800
198108 0.149400
198109 0.153200
198110 0.151500
198111 0.133900
198112 0.137200
198201 0.145900
198202 0.144300
198203 0.138600
198204 0.138700
198205 0.136200
198206 0.143000
198207 0.139500
198208 0.130600
198209 0.123400
198210 0.109100
198211 0.105500
198212 0.105400
198301 0.104600
198302 0.107200
198303 0.105100
198304 0.104000
198305 0.103800
198306 0.108500
198307 0.113800
198308 0.118500
198309 0.116500
198310 0.115400
198311 0.116900
198312 0.118300
198401 0.116700
198402 0.118400
198403 0.123200
198404 0.126300
198405 0.134100
198406 0.135600
198407 0.133600
198408 0.127200
198409 0.125200
198410 0.121600
198411 0.115700
198412 0.115000
198501 0.113800
198502 0.115100
198503 0.118600
198504 0.114300
198505 0.108500
198506 0.101600
198507 0.103100
198508 0.103300
198509 0.103700
198510 0.102400
198511 0.097800
198512 0.092600
198601 0.091900
198602 0.087000
198603 0.077800
198604 0.073000
198605 0.077100
198606 0.078000
198607 0.073000
198608 0.071700
198609 0.074500
198610 0.074300
198611 0.072500
198612 0.071100
198701 0.070800
198702 0.072500
198703 0.072500
198704 0.080200
198705 0.086100
198706 0.084000
198707 0.084500
198708 0.087600
198709 0.094200
198710 0.095200
198711 0.088600
198712 0.089900
198801 0.086700
198802 0.082100
198803 0.083700
198804 0.087200
198805 0.090900
198806 0.089200
198807 0.090600
198808 0.092600
198809 0.089800
198810 0.088000
198811 0.089600
198812 0.091100
198901 0.090900
198902 0.091700
198903 0.093600
198904 0.091800
198905 0.088600
198906 0.082800
198907 0.080200
198908 0.081100
198909 0.081900
198910 0.080100
198911 0.078700
198912 0.078400
199001 0.082100
199002 0.084700
199003 0.085900
199004 0.087900
199005 0.087600
199006 0.084800
199007 0.084700
199008 0.087500
199009 0.088900
199010 0.087200
199011 0.083900
199012 0.080800
199101 0.080900
199102 0.078500
199103 0.081100
199104 0.080400
199105 0.080700
199106 0.082800
199107 0.082700
199108 0.079000
199109 0.076500
199110 0.075300
199111 0.074200
199112 0.070900
199201 0.070300
199202 0.073400
199203 0.075400
199204 0.074800
199205 0.073900
199206 0.072600
199207 0.068400
199208 0.065900
199209 0.064200
199210 0.065900
199211 0.068700
199212 0.067700
199301 0.066000
199302 0.062600
199303 0.059800
199304 0.059700
199305 0.060400
199306 0.059600
199307 0.058100
199308 0.056800
199309 0.053600
199310 0.053300
199311 0.057200
199312 0.057700
199401 0.057500
199402 0.059700
199403 0.064800
199404 0.069700
199405 0.071800
199406 0.071000
199407 0.073000
199408 0.072400
199409 0.074600
199410 0.077400
199411 0.079600
199412 0.078100
199501 0.077800
199502 0.074700
199503 0.072000
199504 0.070600
199505 0.066300
199506 0.061700
199507 0.062800
199508 0.064900
199509 0.062000
199510 0.060400
199511 0.059300
199512 0.057100
199601 0.056500
199602 0.058100
199603 0.062700
199604 0.065100
199605 0.067400
199606 0.069100
199607 0.068700
199608 0.066400
199609 0.068300
199610 0.065300
199611 0.062000
199612 0.063000
199701 0.065800
199702 0.064200
199703 0.066900
199704 0.068900
199705 0.067100
199706 0.064900
