DATE SP500 Lo30 Med40 Hi30 Lo20 Qnt2 Qnt3 Qnt4 Hi20 Lo10 Dec02 Dec03 Dec04 Dec05 Dec06 Dec07 Dec08 Dec09 Hi10
196201 -0.028028221 -0.0498 -0.0179 0.0072 -0.0578 -0.0369 -0.0138 -0.0016 0.0156 -0.0659 -0.0296 -0.0387 -0.0313 -0.0382 0.0072 -0.0021 -0.0012 0.009 0.0216
196202 0.018739035 0.0184 0.0226 0.0235 0.0168 0.0199 0.027 0.0237 0.0154 0.0134 0.0283 0.0207 0.0176 0.0231 0.0303 0.0122 0.0318 0.0325 0.0001
196203 -0.003430585 -0.0035 -0.0036 -0.0187 0.0015 -0.0077 -0.0051 -0.0102 -0.0243 0.0014 0.0017 -0.0103 0 -0.0014 -0.0081 -0.006 -0.0131 -0.0056 -0.0415
196204 -0.059525497 -0.0663 -0.0576 -0.0625 -0.078 -0.0513 -0.0588 -0.0634 -0.0583 -0.0843 -0.0569 -0.0502 -0.0549 -0.0698 -0.0497 -0.0587 -0.0667 -0.066 -0.0509
196205 -0.083384449 -0.091 -0.0711 -0.0688 -0.1063 -0.0752 -0.061 -0.0668 -0.0759 -0.1102 -0.0936 -0.0705 -0.0896 -0.0767 -0.0483 -0.0742 -0.0616 -0.0799 -0.0722
196206 -0.078986927 -0.0904 -0.0695 -0.0673 -0.1049 -0.0743 -0.0646 -0.0619 -0.0717 -0.1109 -0.0857 -0.0717 -0.0823 -0.0758 -0.0559 -0.0605 -0.0629 -0.0728 -0.0707
196207 0.066666588 0.0807 0.0526 0.0416 0.0853 0.0648 0.0481 0.0312 0.043 0.1062 0.0526 0.0658 0.0641 0.0579 0.042 0.0243 0.0392 0.0306 0.0577
196208 0.018203665 0.0279 0.0174 0.0245 0.0285 0.0238 0.0139 0.0168 0.0254 0.0281 0.0293 0.0256 0.0226 0.0101 0.0163 0.0114 0.023 0.0157 0.0366
196209 -0.045331637 -0.0511 -0.0474 -0.0476 -0.0541 -0.0461 -0.0429 -0.0534 -0.0491 -0.0704 -0.0273 -0.0412 -0.0493 -0.0463 -0.0407 -0.0606 -0.0452 -0.0357 -0.0641
196210 0.008174872 0.0048 0.0053 -0.0015 0.0069 0.0055 0.0022 -0.0052 0.0013 0.0001 0.0176 -0.0023 0.0108 0.0038 0.0013 -0.0045 -0.0059 -0.0088 0.013
196211 0.105272587 0.1137 0.1013 0.1395 0.1147 0.0951 0.1131 0.1215 0.1491 0.1323 0.0876 0.1106 0.0848 0.0998 0.1216 0.1194 0.1239 0.1415 0.1577
196212 0.016864703 0.0144 0.0168 0.0023 0.0113 0.023 0.0193 -0.0081 0.0009 0.0097 0.0139 0.0245 0.022 0.0143 0.0225 -0.0197 0.0047 0.0072 -0.0062
196301 0.051822608 0.05 0.0447 0.0771 0.0532 0.0425 0.0399 0.0768 0.0738 0.0448 0.0665 0.0398 0.0444 0.0377 0.0413 0.0713 0.0828 0.0726 0.0751
196302 -0.026284045 -0.028 -0.018 -0.0076 -0.0329 -0.0159 -0.018 -0.0145 -0.0036 -0.0367 -0.0271 -0.0119 -0.0187 -0.02 -0.0168 -0.0148 -0.0143 -0.0016 -0.0059
196303 0.038108555 0.0336 0.0325 0.0465 0.0347 0.0265 0.0404 0.0415 0.0426 0.0252 0.0496 0.0301 0.0241 0.0349 0.0438 0.0309 0.0528 0.0423 0.043
196304 0.051224216 0.0492 0.0448 0.0559 0.0474 0.0409 0.0556 0.0453 0.0657 0.0523 0.04 0.0548 0.0314 0.0492 0.0596 0.0507 0.0397 0.0581 0.0743
196305 0.016905446 0.0231 0.0121 0.04 0.0305 -0.0007 0.0186 0.0327 0.0465 0.024 0.0406 -0.0008 -0.0006 0.0295 0.0121 0.0363 0.0288 0.0233 0.0725
196306 -0.017655267 -0.0231 -0.0147 -0.0069 -0.0299 -0.0099 -0.011 -0.023 0.0009 -0.0319 -0.0269 -0.0005 -0.0165 -0.0177 -0.007 -0.0255 -0.0203 0.0043 -0.0028
196307 -0.001009162 -0.0005 0.0036 -0.015 0 0.0019 0.0013 -0.0089 -0.0133 -0.0069 0.0088 -0.0017 0.0073 0.0049 -0.0041 -0.0013 -0.0174 -0.0045 -0.0334
196308 0.051208026 0.0538 0.0467 0.0704 0.0573 0.0428 0.0505 0.0719 0.0607 0.0595 0.0545 0.046 0.0379 0.048 0.0544 0.0616 0.0834 0.0541 0.0762
196309 -0.008689698 -0.011 -0.0163 -0.0184 -0.0157 -0.0091 -0.0119 -0.0069 -0.0294 -0.0105 -0.0223 -0.0003 -0.0226 -0.0136 -0.0093 -0.0098 -0.0038 -0.03 -0.0282
196310 0.03542535 0.038 0.013 0.0221 0.0477 0.0163 0.0077 0.0262 0.0107 0.0356 0.0633 0.0164 0.0162 0.0031 0.0147 0.0166 0.0368 0.0127 0.0062
196311 -0.007431413 -0.0031 -0.0141 0.0036 -0.013 0.0066 -0.012 -0.0134 0.0109 0.0001 -0.0293 0.0196 -0.0135 -0.0189 -0.0017 -0.0207 -0.0056 0.012 0.0082
196312 0.027584233 0.0202 0.0283 0.0159 0.0232 0.0212 0.0191 0.0215 0.0232 0.025 0.0208 0.0135 0.0335 0.0269 0.0077 0.0356 0.0064 0.018 0.0353
196401 0.029458872 0.0264 0.0268 0.0296 0.0275 0.0293 0.0185 0.0255 0.0249 0.0332 0.0202 0.0239 0.0379 0.0218 0.0136 0.0163 0.0357 0.0234 0.0285
