DATE M500 SP500 M400
197301 -0.029639 -0.01490885 -0.055579
197302 -0.048941 -0.03524956 -0.058781
197303 -0.018255 0.00089538 -0.030485
197304 -0.053129 -0.03828913 -0.045430
197305 -0.069903 -0.01626614 -0.058555
197306 -0.019320 -0.00390665 -0.056521
197307 0.071350 0.04066748 0.087158
197308 -0.030184 -0.03409708 -0.047819
197309 0.097338 0.04278170 0.109229
197310 0.012254 0.00166006 -0.014908
197311 -0.161113 -0.11090592 -0.175419
197312 0.013241 0.01990409 -0.034551
197401 0.061475 -0.00717576 0.090622
197402 0.013922 -0.00072493 0.001990
197403 -0.006738 -0.02036989 0.004562
197404 -0.044929 -0.03585868 -0.040698
197405 -0.043879 -0.03022920 -0.058813
197406 -0.008594 -0.01122822 -0.027377
197407 -0.047775 -0.07418608 -0.064351
197408 -0.068769 -0.08636999 -0.082967
197409 -0.061357 -0.11503813 -0.057952
197410 0.082660 0.16808312 0.076588
197411 -0.040554 -0.04884991 -0.041929
197412 -0.022852 -0.01557794 -0.018376
197501 0.230311 0.12718784 0.269468
197502 0.033112 0.06378281 0.034035
197503 0.070233 0.02537062 0.100925
197504 0.069807 0.05098372 0.052018
197505 0.057377 0.04765185 0.081197
197506 0.069444 0.04772346 0.071422
197507 -0.040577 -0.06439740 -0.035756
197508 -0.020462 -0.01757758 -0.032473
197509 -0.002527 -0.03107729 -0.027312
197510 0.084472 0.06533920 0.083487
197511 0.039127 0.02818954 0.050165
197512 -0.018808 -0.00811051 -0.011273
197601 0.178912 0.12163211 0.198848
197602 0.044838 -0.00842746 0.055886
197603 0.024512 0.03369770 0.025445
197604 -0.006212 -0.00778427 -0.033572
197605 -0.020225 -0.01111774 -0.045523
197606 0.043710 0.04422047 0.031818
197607 0.020506 -0.00479489 0.013196
197608 -0.007086 -0.00183680 -0.017582
197609 0.022992 0.02594502 0.011597
197610 -0.016656 -0.01862406 -0.027696
197611 0.030969 -0.00408166 0.026160
197612 0.104767 0.05621940 0.116621
197701 0.010490 -0.04727334 0.002492
197702 -0.003034 -0.01823000 -0.005732
197703 -0.009021 -0.01051887 -0.009926
197704 0.032963 0.00416571 0.017348
197705 0.009078 -0.01960577 -0.006155
197706 0.045715 0.04941740 0.066391
197707 -0.003509 -0.01244034 -0.004879
197708 -0.012925 -0.01719779 -0.022104
197709 0.016815 0.00144683 0.026507
197710 -0.014625 -0.03895165 -0.008260
197711 0.077262 0.03162216 0.079462
197712 0.012649 0.00738168 0.017943
197801 -0.033872 -0.05741316 -0.036263
197802 0.022023 -0.02039223 0.033397
197803 0.070243 0.02941175 0.069527
197804 0.081462 0.09023647 0.067662
197805 0.057188 0.00867504 0.084755
197806 -0.023894 -0.01316322 -0.006828
197807 0.037511 0.05830623 0.038621
197808 0.067655 0.03009536 0.076707
197809 -0.010952 -0.00319489 0.002698
197810 -0.145445 -0.08718549 -0.166786
197811 0.035692 0.02147078 0.065165
197812 0.028581 0.01964085 0.013744
197901 0.063581 0.04432429 0.079330
197902 -0.018396 -0.03212243 -0.014979
197903 0.088430 0.05972162 0.085764
197904 0.027277 0.00629981 0.017611
197905 0.006611 -0.02171785 -0.000395
197906 0.041737 0.04339930 0.049884
197907 0.035666 0.01340987 0.033604
197908 0.096063 0.05770152 0.088442
197909 0.002577 0.00439078 -0.024137
197910 -0.109023 -0.06403220 -0.097515
197911 0.049960 0.04753483 0.058576
197912 0.048403 0.02147701 0.052379
198001 0.070207 0.06216418 0.062642
198002 -0.040103 -0.00008760 -0.053444
198003 -0.128823 -0.09748366 -0.130188
198004 0.025708 0.04623369 0.036077
198005 0.071440 0.05146295 0.099783
198006 0.025375 0.03164330 0.040583
198007 0.088064 0.06959041 0.105827
198008 0.052889 0.01010924 0.046918
198009 0.031378 0.02941659 0.016788
198010 0.017486 0.02024545 0.013201
198011 0.059961 0.10653491 0.022331
198012 -0.018655 -0.03010244 -0.023973
198101 0.016927 -0.04183859 0.024886
198102 0.036334 0.01736782 0.042599
198103 0.068219 0.04007017 0.082545
198104 0.033556 -0.01933825 0.015685
198105 0.029549 0.00256004 0.028164
198106 0.015911 -0.00618452 0.031455
198107 -0.005963 0.00205782 -0.017082
198108 -0.046377 -0.05782161 -0.036485
198109 -0.039314 -0.04927112 -0.060801
198110 0.068083 0.05396804 0.071429
198111 0.067823 0.04118460 0.027480
198112 -0.004819 -0.02564308 0.005642
198201 -0.010676 -0.01297425 -0.028389
198202 -0.027520 -0.05589708 -0.030699
198203 0.002959 -0.00521611 0.013311
198204 0.052373 0.04528399 0.044327
198205 -0.004058 -0.03409480 -0.011718
198206 -0.002584 -0.01501613 -0.007899
198207 0.006707 -0.01769902 0.005444
198208 0.094948 0.12139321 0.124079
198209 0.045878 0.01246761 0.031243
198210 0.108549 0.11509711 0.134535
198211 0.063613 0.04038593 0.040880
198212 0.029503 0.01927246 0.017537
198301 0.043768 0.03718706 0.037968
198302 0.063831 0.02291817 0.048541
198303 0.057424 0.03694444 0.067213
198304 0.072453 0.07884419 0.083326
198305 0.028049 -0.00869723 0.032611
198306 0.026061 0.03891857 0.041478
198307 0.007064 -0.02944494 -0.008775
198308 -0.006425 0.01500982 -0.008723
198309 0.042081 0.01380778 0.034287
198310 0.005794 -0.01156142 -0.004496
198311 0.039282 0.02109451 0.035664
198312 0.003628 -0.00522837 0.003273
198401 0.037195 -0.00557815 0.046860
198402 -0.023228 -0.03518751 -0.030882
198403 0.023669 0.01731819 0.026710
198404 0.023715 0.00948609 0.025043
198405 -0.036026 -0.05535771 -0.029881
198406 0.040014 0.02172039 0.048063
198407 -0.016592 -0.01240374 -0.019628
198408 0.095789 0.11044740 0.111089
198409 0.010005 0.00023997 0.014344
198410 -0.000174 0.00385313 -0.003032
198411 0.004358 -0.01119881 -0.007912
198412 0.019368 0.02634799 0.012479
198501 0.082822 0.07791198 0.088602
198502 0.028129 0.01219175 0.037906
198503 -0.009827 0.00066230 -0.005982
198504 -0.009203 -0.00088565 -0.019050
198505 0.050858 0.05777680 0.059774
198506 0.029479 0.01566871 0.022118
198507 -0.000357 -0.00145944 0.013275
198508 0.005836 -0.00859003 0.002618
198509 -0.019252 -0.03127818 -0.030675
198510 0.052862 0.04618852 0.066158
198511 0.069163 0.06859133 0.076168
198512 0.038364 0.04837513 0.059732
198601 0.008493 0.00558501 0.012091
198602 0.075845 0.07470016 0.078854
198603 0.071674 0.05579057 0.097751
198604 0.005689 -0.01125996 0.017890
198605 0.029112 0.05315898 0.040094
198606 0.018459 0.01689915 0.017301
198607 -0.006212 -0.05589221 -0.066640
198608 0.051558 0.07415720 0.027465
198609 -0.057114 -0.08267110 -0.062875
198610 0.043457 0.05771228 0.047619
198611 0.031532 0.02430523 0.019592
198612 -0.019742 -0.02551957 -0.025576
198701 0.099207 0.13465680 0.113708
198702 0.032923 0.03947798 0.088138
198703 0.021788 0.02885293 0.015489
198704 -0.020962 -0.00887929 -0.026909
198705 0.000935 0.00863501 0.001900
198706 0.029908 0.05050036 0.023494
198707 0.055722 0.05065761 0.050226
198708 0.022801 0.03728140 0.040142
198709 -0.002895 -0.02192238 -0.014720
198710 -0.204428 -0.21533108 -0.297426
198711 -0.037347 -0.08240994 -0.062679
198712 0.066104 0.07607463 0.090150
198801 0.055124 0.04346705 0.080018
198802 0.092696 0.04473493 0.150910
198803 0.013683 -0.03054267 0.066546
198804 0.024138 0.01270852 0.025244
198805 0.003761 0.00642832 -0.005390
198806 0.048728 0.04649867 0.059706
198807 0.003016 -0.00241316 0.013042
198808 -0.009710 -0.03558562 -0.018685
198809 0.021361 0.04286445 0.048352
198810 0.013396 0.02901718 -0.000797
198811 0.022489 -0.01591576 -0.011296
198812 0.028409 0.01772021 0.028666
198901 0.037393 0.07410342 0.030342
198902 -0.000136 -0.02615426 0.014598
198903 0.016880 0.02367934 0.017892
198904 -0.001661 0.05331172 0.011857
198905 0.038561 0.03820529 0.058716
198906 -0.030017 -0.00496005 -0.007217
198907 0.052197 0.09132604 0.057343
198908 0.021013 0.01823313 0.027582
198909 0.005514 -0.00386982 0.003111
198910 -0.025648 -0.02245465 -0.051395
198911 0.007360 0.01933285 -0.000216
198912 0.030237 0.02416229 0.012919
199001 -0.060550 -0.06621413 -0.073243
199002 0.014326 0.01133481 0.019776
199003 0.027129 0.02702718 0.057096
199004 -0.034576 -0.02373989 -0.018158
199005 0.052661 0.09522429 0.058207
199006 -0.010975 -0.00592477 0.001525
199007 -0.021122 -0.00242968 -0.035821
199008 -0.113708 -0.09150666 -0.114002
199009 -0.049610 -0.04808414 -0.061359
199010 -0.034011 -0.00329948 -0.064736
199011 0.093277 0.06335517 0.099279
199012 0.052078 0.02805537 0.050544
199101 0.090506 0.04433397 0.092845
199102 0.075086 0.06998487 0.095439
199103 0.038369 0.02473684 0.050985
199104 0.017981 0.00322446 0.032068
199105 0.045675 0.04145461 0.056152
199106 -0.033905 -0.04512205 -0.030879
199107 0.027780 0.04766113 0.009471
199108 0.017740 0.02233084 0.013914
199109 0.019811 -0.01651384 0.007560
199110 -0.005945 0.01446424 0.001463
199111 -0.011661 -0.04135451 -0.027082
199112 0.046093 0.11427929 0.087845
199201 0.042623 -0.01757427 0.075132
199202 0.029402 0.01193806 0.040590
199203 -0.003793 -0.01948149 -0.002118
199204 -0.016678 0.03056804 -0.005108
199205 0.011110 0.00356646 0.002032
199206 -0.017882 -0.01475855 -0.036235
199207 0.044646 0.04199557 0.030892
199208 -0.006517 -0.02147563 -0.017480
199209 0.015533 0.01169003 0.005335
199210 0.009748 0.00452400 0.023537
199211 0.056701 0.03267394 0.077980
199212 0.021621 0.01244954 0.043894
199301 0.032645 0.00934067 0.032696
199302 0.011000 0.01276289 -0.017838
199303 0.022093 0.02095278 0.025225
199304 -0.008985 -0.02300348 -0.019153
199305 0.034674 0.02519367 0.052699
199306 0.011619 0.00317609 -0.042185
199307 -0.005365 -0.00295186 -0.018619
199308 0.020659 0.03681953 0.019031
199309 0.012210 -0.00767945 0.015918
199310 0.005859 0.02163708 0.053726
199311 -0.003248 -0.01070911 -0.001535
199312 0.026455 0.01232196 0.035883
199401 0.028652 0.03475166 0.027142
199402 0.007463 -0.02786482 0.019512
199403 -0.015327 -0.04349900 -0.050839
199404 0.005863 0.01408830 -0.014406
199405 -0.015504 0.01492557 -0.014583
199406 -0.002323 -0.02429403 -0.032893
199407 0.019888 0.03396583 0.046866
199408 0.051112 0.03999964 0.062460
199409 -0.019048 -0.02460630 -0.001631
199410 0.018473 0.02327674 0.016763
199411 -0.023044 -0.03715448 -0.004774
199412 0.010715 0.01474539 -0.005621
199501 0.024117 0.02656423 0.013267
199502 0.034658 0.03830614 0.010879
199503 0.005644 0.02948372 0.028843
199504 0.017111 0.03035690 0.031379
199505 0.029218 0.03864301 0.015486
199506 0.010775 0.02352850 0.067345
199507 0.050698 0.03392348 0.026026
199508 0.020611 0.00176150 0.002189
199509 0.029005 0.04217989 -0.001347
199510 -0.024374 -0.00296010 -0.049056
199511 0.030476 0.04307803 0.020630
199512 0.013865 0.01939320 0.017084
199601 0.000292 0.03448419 -0.020197
199602 0.023820 0.00874211 0.027578
199603 0.009262 0.00971233 0.032923
199604 0.028682 0.01538330 0.064498
199605 0.035138 0.02477942 0.063571
199606 -0.013537 0.00413978 -0.039647
199607 -0.058226 -0.04380946 -0.075978
199608 0.035944 0.02112671 0.063617
199609 0.024479 0.05616624 0.037598
199610 0.022515 0.02757121 0.013352
199611 0.033126 0.07551720 0.058626
199612 0.026758 -0.01981426 0.034591
199701 0.016554 0.06243746 0.023026
199702 0.005126 0.00784816 -0.009318
199703 -0.022094 -0.04100801 -0.044109
199704 -0.009283 0.05964705 -0.011640
199705 0.060821 0.06083554 0.108620
199706 0.045089 0.04477309 0.018331
199707 0.040698 0.07952404 0.090737
199708 0.010443 -0.05597862 0.033644
199709 0.063717 0.05473203 0.067404
199710 -0.018630 -0.03335858 -0.036840
199711 0.032309 0.04625979 0.014620
199712 0.051027 0.01716551 0.006045
199801 -0.024121 0.01104959 0.010746
199802 0.068477 0.07208270 0.061658
199803 0.048881 0.05116740 0.020863
199804 -0.014723 0.01005582 0.011247
199805 -0.024216 -0.01716483 -0.045743
199806 -0.012211 0.04058965 -0.023646
199807 -0.059609 -0.01062143 -0.064292
199808 -0.112252 -0.14443056 -0.179251
199809 0.034434 0.06406381 0.042047
199810 0.064387 0.08126862 0.148558
199811 0.033248 0.06058325 0.099250
199812 0.018921 0.05758703 0.033320
199901 -0.050997 0.04180096 0.036900
199902 -0.054612 -0.03107436 -0.101533
199903 -0.055579 0.03999822 -0.046560
199904 0.135864 0.03872447 0.084213
199905 0.056832 -0.02358034 0.073695
199906 0.028598 0.05545305 0.103168
199907 -0.001733 -0.03119450 0.016042
199908 -0.041094 -0.00495063 -0.043584
199909 -0.029696 -0.02738013 0.019649
199910 -0.036260 0.06325358 -0.016631
